KeyTip,NewTreeLabel,TreeLabel,Clade,Body Size,TipLabel,Wing length (mm),
Chalcopsitta_atra_atra,Chalcopsitta_atra_atra,Chalcopsitta_atra_atra_AMNH233675,Chalcopsitta,32,Chalcopsitta_atra_atra_AMNH233675,187.03,
Chalcopsitta_atra_bernsteini,Chalcopsitta_atra_bernsteini,Chalcopsitta_atra_bernsteini_AMNH616721,Chalcopsitta,32,Chalcopsitta_atra_bernsteini_AMNH616721,184.16,
Chalcopsitta_atra_insignis,Chalcopsitta_atra_insignis,Chalcopsitta_atra_insignis_AMNH616737,Chalcopsitta,32,Chalcopsitta_atra_insignis_AMNH616737,192.73,
Chalcopsitta_cardinalis_DOT6623,Chalcopsitta_cardinalis,Pseudeos_cardinalis_DOT6623,Psuedeos,31,Chalcopsitta_cardinalis_DOT6623,169.06,
Chalcopsitta_duivenbodei_duivenbodei_,Chalcopsitta_duivenbodei_duivenbodei_,Chalcopsitta_duivenbodei_duivenbodei_DOT13128,Chalcopsitta,31,Chalcopsitta_duivenbodei_duivenbodei_DOT13128,170.11,
Chalcopsitta_duivenbodei_syringanuchalis,Chalcopsitta_duivenbodei_syringanuchalis,Chalcopsitta_duivenbodei_syringanuchalis_AMNH828937,Chalcopsitta,31,Chalcopsitta_duivenbodei_syringanuchalis_AMNH828937,175.18,
Chalcopsitta_scintillata_chloroptera,Chalcopsitta_scintillata_chloroptera,Chalcopsitta_scintillata_chloroptera_ANWCB56014,Chalcopsitta,31,Chalcopsitta_scintillata_chloroptera_ANWCB56014,171.98,
Chalcopsitta_scintillata_rubrifons,Chalcopsitta_scintillata_rubrifons,Chalcopsitta_scintillata_rubrifrons_AMNH616765,Chalcopsitta,31,Chalcopsitta_scintillata_rubrifrons_AMNH616765,177.43,
Chalcopsitta_scintillata_scintillata,Chalcopsitta_scintillata_scintillata,Chalcopsitta_scintillata_scintillata_AMNH789792,Chalcopsitta,31,Chalcopsitta_scintillata_scintillata_AMNH789792,156.42,
Charmosyna_amabilis,Charmosyna_amabilis,Charmosyna_amabilis_AMNH249471,Charmosyna,18,Charmosyna_amabilis_AMNH249471,91.85,
Charmosyna_josefinae_cyclopum,Charmosyna_josefinae_cyclopum,Charmosyna_josefinae_cyclopum_AMNH829013,Charmosyna,24,Charmosyna_josefinae_cyclopum_AMNH829013,117.58,
Charmosyna_josefinae_josefinae,Charmosyna_josefinae_josefinae,Charmosyna_josefinae_josefinae_AMNH339244,Charmosyna,24,Charmosyna_josefinae_josefinae_AMNH339244,123.27,
Charmosyna_margarethae,Charmosyna_margarethae,Charmosyna_margarethae_AMNH228721,Charmosyna,20,Charmosyna_margarethae_AMNH228721,105.74,
Charmosyna_meeki,Charmosyna_meeki,Charmosyna_meeki_AMNH219091,Charmosyna,16,Charmosyna_meeki_AMNH219091,71.73,
Charmosyna_multistriata,Charmosyna_multistriata,Charmosyna_multistriata_LSUMZB19411,Charmosyna,18,Charmosyna_multistriata_LSUMZB19411,94.75,
Charmosyna_palmarum,Charmosyna_palmarum,Charmosyna_palmarum_DOT21611,Charmosyna,17,Charmosyna_palmarum_DOT21611,93.45,
Charmosyna_papou_goliathina,Charmosyna_papou_goliathina,Charmosyna_papou_goliathina_KU18337,Charmosyna,25,Charmosyna_papou_goliathina_KU18337,130.8,
Charmosyna_papou_papou,Charmosyna_papou_papou,Charmosyna_papou_papou_AMNH792913,Charmosyna,x,,,x
Charmosyna_placentis_intensior,Charmosyna_placentis_intensior,Charmosyna_placentis_intensior_AMNH467564,Charmosyna,17,Charmosyna_placentis_intensior_AMNH467564,92.17,
Charmosyna_placentis_ornata,Charmosyna_placentis_ornata,Charmosyna_placentis_ornata_AMNH618305,Charmosyna,17,Charmosyna_placentis_ornata_AMNH618305,86.09,
Charmosyna_placentis_pallidior,Charmosyna_placentis_pallidior,Charmosyna_placentis_pallidior_DOT20055,Charmosyna,17,Charmosyna_placentis_pallidior_DOT20055,81.71,
Charmosyna_placentis_placentis,Charmosyna_placentis_placentis,Charmosyna_placentis_placentis_AMNH802091,Charmosyna,17,Charmosyna_placentis_placentis_AMNH802091,88.81,
Charmosyna_placentis_stellaer,Charmosyna_placentis_stellaer,Charmosyna_papou_stellae_KU16129,Charmosyna,17,,,X
Charmosyna_placentis_subplacens,Charmosyna_placentis_subplacens,Charmosyna_placentis_subplacens_AMNH791056,Charmosyna,17,Charmosyna_placentis_subplacens_AMNH791056,83.6,
