TipLabel,Collected Number,Sample,Bill length (mm),Bill width (mm),Bill depth (mm),Wing length (mm),Kipps distance (mm),Tail length (mm),Tarsus length (mm),Gape width (mm)
Chalcopsitta_atra_atra_AMNH233675,,Chalcopsitta_atra_atra616728_0004_t9,21.93,14.09,24.25,187.03,94.82,129.57,29.3,15.08
Chalcopsitta_duivenbodei_duivenbodei_DOT13128,339084,Chalcopsitta_duivenbodei_duivenbodei_0004_t9,23.19,15.56,25.36,170.11,73.7,144.51,26.03,16.01
Chalcopsitta_scintillata_scintillata_AMNH789792,,Chalcopsitta_scintillata_scintillata425530_0004_t9,19.06,12.73,20.51,156.42,68.84,110.08,25.39,13.9
Charmosyna_pulchella_pulchella_KU18364,,Charmosyna_pulchella_pulchella301764_0004_0001-1415-0989,12.39,7.73,10.06,92.94,50.39,99.44,13.81,8.08
Neopsittacus_musschenbroekii_musschenbroekii_AMNH792918,419558,Neopsittacus_muschenbroekii_muschenbroekii419553_0004_0001-1469-0660,15.46,10.25,15.82,112.44,39.5,106.1,16.03,10.13
Psitteuteles_versicolor_DOT19663,,Psitteuteles_versicolor618644_0004_0001-1562-0836,13.66,9.22,13.65,113.33,47.91,65.31,15.02,9.52
Vini_ultramarina_AMNH195184,,Vini_ultramarina190111_0004_0001-1558-0969,11.35,7.61,9.19,110.16,53.56,70.02,16.07,7.77
Oreopsittacus_arfaki_major_AMNH339320,302697,Oreopsittacus_arfaki_major302796_0004_0001-1556-1211,13.27,6.84,9.19,80.73,40.47,85.55,10.39,6.73
Charmosyna_amabilis_AMNH249471,,Charmosyna_amabilis618265_004_0001-1465-1048,10.99,6.59,8.35,91.85,50.75,80.4,13.15,6.42
Charmosyna_josefinae_cyclopum_AMNH829013,,Charmosyna_josefinae_cyclopum293644_004_0001-1593-0851,16.9,9.9,13.05,117.58,57.15,105.02,22.69,10.16
Charmosyna_josefinae_josefinae_AMNH339244,,Charmosyna_josefinae_josefinae339229_004_0001-1456-0864,17.45,9.85,13.74,123.27,64.12,149.4,18.8,10.08
Charmosyna_margarethae_AMNH228721,,Charmosyna_margarethae228729_004_0001-1529-0889,14.39,8.6,13.01,105.74,53.13,92.35,17.12,8.45
Charmosyna_meeki_AMNH219091,,Charmosyna_meeki226801_004_0001-1535-1057,12.08,7.19,8.34,71.73,32.75,58.78,11.53,7.11
Charmosyna_multistriata_LSUMZB19411,,Charmosyna_multistriata618397_004_0001-1514-0802,16.99,9.23,12.7,94.75,52.25,94.44,15.68,9.34
Charmosyna_palmarum_DOT21611,,Charmosyna_palmarum213821_004_0001-1511-1026,12.23,6.68,8.97,93.45,42.32,81.64,17.16,6.68
Charmosyna_papou_goliathina_KU18337,,Charmosyna_papou_goliathina302766_004_0001-1698-0426,17.32,10.32,13.78,130.8,57.94,168.35,19.93,10.09
