tipNames,wc2.0_bio_5m_01,wc2.0_bio_5m_02,wc2.0_bio_5m_03,wc2.0_bio_5m_04,wc2.0_bio_5m_05,wc2.0_bio_5m_06,wc2.0_bio_5m_07,wc2.0_bio_5m_08,wc2.0_bio_5m_09,wc2.0_bio_5m_10,wc2.0_bio_5m_11,wc2.0_bio_5m_12,wc2.0_bio_5m_13,wc2.0_bio_5m_14,wc2.0_bio_5m_15,wc2.0_bio_5m_16,wc2.0_bio_5m_17,wc2.0_bio_5m_18,wc2.0_bio_5m_19
Chalcopsitta_atra_22684488,25.58733661,7.683128459,80.08141318,52.66987009,30.16488229,20.57241036,9.592471933,25.73222252,25.39126045,26.0590162,24.84865086,3053.72599,338.1546375,178.9690615,21.80651894,965.0781576,575.3382267,790.4438791,710.0730472
Chalcopsitta_cardinalis_DOT6623,26.04744506,7.125992552,83.82098919,34.32973034,30.23677496,21.7388299,8.497945058,26.13760013,26.04792694,26.38502417,25.58804725,3242.952825,368.0743688,209.4073816,19.34610021,1027.256215,682.2607838,874.7767492,793.0236836
Chalcopsitta_duivenbodei_22684491,26.49618646,9.36913565,87.84571751,32.05754688,31.7096433,21.03642438,10.67321892,26.67738623,26.14091445,26.79953887,26.05946104,2736.811791,322.5296459,143.7926529,27.28541959,894.1281127,463.0824778,789.9451845,470.6296808
Chalcopsitta_scintillata_22684494,26.00217834,8.966854546,71.41432943,86.0609309,31.98979332,19.45934575,12.53044757,26.35434748,25.40581364,26.86746958,24.80640634,3183.986824,372.4573794,170.4289602,30.25452138,1042.542043,569.5271757,845.9584131,654.2762026
Charmosyna_amabilis_AMNH249471,24.88223737,6.7509632,65.17873133,133.8879953,29.90018055,19.57534191,10.32483864,26.36584374,23.27909756,26.44264389,23.24456309,2651.020189,363.6430533,110.9571298,39.37189155,980.1358828,373.3290277,973.1233218,381.9474166
Charmosyna_josefinae_22684704,21.42348486,9.855357414,83.78639562,52.35551753,27.0924367,15.36011478,11.73232192,21.57921044,21.20223131,21.93875539,20.72256148,3308.346076,345.875893,211.3315424,16.48275947,977.8568723,673.6824417,882.8078665,757.0798124
Charmosyna_margarethae_AMNH228721,25.77426297,7.319212707,84.48655085,33.86110926,30.03030432,21.3686975,8.661606823,25.83969146,25.76292651,26.10767033,25.32654481,3205.502756,363.5054174,207.5967621,19.38400353,1012.648149,672.1919584,881.3888019,782.442663
Charmosyna_meeki_AMNH219091,24.18857026,7.609366312,85.75438429,32.79504932,28.5410156,19.67199608,8.869019522,24.16775673,24.21859087,24.53063668,23.7830016,3324.297487,361.8992319,226.8662935,16.08655121,1006.059628,720.0913943,873.8836089,828.4397865
Charmosyna_multistriata_LSUMZB19411,24.64987345,10.12007673,77.32893319,74.48215083,30.88287234,17.79731197,13.08556037,24.77663987,24.3720087,25.39623116,23.62192752,3962.119756,431.2264449,249.3067736,17.23095693,1196.182686,813.9117611,994.7992348,950.6422693
Charmosyna_palmarum_DOT21611,24.95386064,7.03878863,71.94343032,95.34754569,29.67289666,19.82745338,9.845443287,26.02890917,23.91360466,26.05380513,23.79043612,3009.601789,367.8203449,156.8529564,29.76016581,1048.69541,525.5077152,1016.209673,544.9171421
Charmosyna_papou_22725340,20.50362289,8.63231803,83.60458042,53.07269545,25.51509972,15.19190196,10.32319776,20.92995611,20.45868463,21.13517394,19.86335327,3105.571556,318.6792267,199.4125123,16.17563322,926.8306632,615.5360243,911.2585698,726.5215251
Charmosyna_placentis_22684686,25.04673584,8.957573783,78.65533491,62.83637071,30.54107684,19.11027181,11.43080503,25.28883111,24.64117219,25.66509085,24.17873208,3002.121193,347.863215,165.3107128,26.5300237,972.4570616,543.1636883,805.7242588,636.7271284
Charmosyna_pulchella_22684701,22.49163533,10.09382713,83.40694673,53.88772775,28.33486362,16.24999091,12.08487271,22.74555114,22.13558584,23.03719329,21.760585,3088.89544,337.8881487,184.7488076,20.94046982,949.9643284,595.3941557,844.104176,657.7250764
Charmosyna_rubrigularis_AMNH777811,24.83248525,7.982791604,82.53198527,45.30941099,29.44597607,19.76443838,9.681537692,24.63115142,24.91092038,25.23639091,24.22635222,3333.2208,427.6853813,179.2982208,29.17692548,1166.365168,593.1351519,831.8425067,900.0447602
Charmosyna_rubronotata_22684683,25.82399418,8.797638126,84.55624903,41.52951955,30.87033573,20.4670875,10.40324823,26.01761933,25.55251472,26.20738953,25.2435657,2902.554931,325.6227195,171.308018,21.83974249,907.8049255,548.8924959,778.5363472,603.8792633
Charmosyna_toxopei_AMNH618270,24.41474527,7.783129297,73.72189749,75.03577813,29.42880921,18.86623054,10.56257867,23.92565503,24.50774434,25.06257994,23.34755702,1991.971252,303.5434218,70.87702136,43.35274627,792.6328609,264.4606708,429.8686365,615.0837493
Charmosyna_wilhelminae_AMNH816446,21.63537875,10.25025828,82.58998903,58.1012496,27.59439244,15.22811273,12.36627971,21.95167037,21.17153389,22.2372128,20.85283029,2987.034027,327.9182086,172.1326592,22.44827631,927.0047343,558.7058252,845.1387812,612.6101091
Cyclopsitta_diophthalma_22727581,25.11793831,9.010809482,78.98209194,75.48209486,30.71108512,19.06093595,11.65014917,25.59653159,24.504461,25.87548805,24.07157499,2889.559532,342.1954844,159.1710082,31.00398987,955.4587574,516.1795026,814.1378786,572.5010268
Eos_bornea_22684509,25.29338226,7.606575735,74.32443514,71.12350053,30.12938141,19.8962028,10.23317861,24.8237534,25.53648198,25.91632756,24.27853222,2624.845973,401.9630158,99.74951727,43.71159263,1066.380358,359.3325313,482.9479547,875.374625
Eos_cyanogenia_AMNH301248,26.71067653,7.720536217,90.19749045,24.99103778,30.91865861,22.36151286,8.557145744,26.75066846,26.83735026,26.93550348,26.34649759,2823.836184,282.0579878,188.8414033,12.90657808,800.3835894,588.9434619,681.7306466,693.3766309
Eos_histrio_22684502,26.19922733,8.761771614,83.52435484,40.92496775,31.46628359,20.9723969,10.4938867,26.26816686,26.33171599,26.6487882,25.6591195,2858.010165,298.0600194,176.875605,16.62604904,832.3489835,575.0643756,762.5121007,765.9380445
Eos_reticulata_DOT7852,26.78641198,6.809584658,65.24413686,82.38148072,31.82924559,21.3832616,10.44598399,27.30220076,26.26846489,27.5434116,25.62023826,2071.200034,315.0895701,24.77821545,63.54521891,857.3757493,103.5983901,577.0733002,272.8583662
Eos_semilarvata_AMNH617003,21.78229516,7.698954348,77.78229804,68.45554454,26.41622669,16.51539788,9.900828808,21.31811183,22.1163738,22.36886855,20.8011641,3071.690611,449.31569,131.3805923,39.80722762,1209.863264,455.4291115,697.4536862,1140.954001
Eos_squamata_22684506,25.98006996,7.705329122,86.80330791,33.44673266,30.35265893,21.47487183,8.877787104,25.98895855,26.05602578,26.29780799,25.5615818,2256.429109,270.642529,119.3656445,25.72117654,756.7569849,402.5194188,608.7409584,609.6663016
Glossopsitta_concinna_KU10699,14.78597212,11.02196056,47.08701151,445.2898886,25.81279383,2.372529661,23.44026417,14.43402877,15.82884987,20.23174066,9.252976514,784.0008089,98.20853768,36.06302068,29.93439703,270.1277355,127.0815634,197.3874728,196.0060918
Parvipsitta_porphyrocephala_DOT17712,16.66679661,12.33744191,48.26716019,479.0823456,28.7464861,3.103873952,25.64261215,13.08860824,20.44708053,22.5725174,10.82127748,417.9809677,56.40991008,16.92213467,35.06481694,156.7651235,60.04052475,68.65429815,148.4404706
Parvipsitta_pusilla_AMNH618218,16.60055987,11.525588,47.87447816,455.4209635,27.9546309,3.837466173,24.11716473,18.33947426,14.98423363,22.01758147,10.78884806,857.3410319,121.5596452,35.07233299,37.35583937,329.9121868,123.2710004,281.0510212,164.6013934
Lorius_albidinucha_AMNH617985,22.86899942,8.054064994,84.60924757,44.91629342,27.50779543,17.99146966,9.516325766,22.56266123,22.90405392,23.38712779,22.38910122,2615.942577,281.5425009,173.7604836,16.44907691,755.0147337,560.3626747,663.1326029,685.6675482
Lorius_chlorocercus_UWBM60257,25.65458253,7.505347792,84.48463111,32.82965641,30.03565607,21.15213441,8.883521664,25.88167987,25.51967493,25.97693108,25.23327414,3121.453002,354.8391434,197.535925,20.89628302,1013.664598,638.8006936,915.6426964,718.5618422
Lorius_domicella_DOT7695,23.98760214,7.674212291,75.94302251,70.94843589,28.74534755,18.63820653,10.10714102,23.45115743,24.38726374,24.59049796,22.97542899,2965.297378,445.3409863,120.8939003,42.00304447,1195.822578,427.1529683,534.2897704,1102.435267
Lorius_garrulus_22684581,25.78686488,7.914750904,87.95388198,31.33546421,30.25260919,21.24747802,9.005131164,25.8489614,25.8178668,26.09486884,25.41245777,2116.629347,246.9188935,110.1902444,24.40420348,690.2892776,376.5395126,603.0615348,543.5840271
Lorius_hypoinochrous_22684597,25.10177926,7.730344893,79.43247061,55.37709262,29.74303827,19.98935652,9.753681742,25.03269153,25.13175694,25.64308879,24.36680092,3177.805776,395.3385651,168.6729768,27.78926305,1085.115884,567.494188,813.7507813,820.6744435
