"","Patch","bestMod","m.sig","c.var","s.var","s.asr","s.hgt","d.cdf"
"Lores","Lores","delta","0.921078921078921","0.031968031968032","0.915084915084915","0.921078921078921","0.885114885114885","0.497502497502497"
"SuperciliaryLine","SuperciliaryLine","delta","0.869130869130869","0.00999000999000999","0.395604395604396","0.00599400599400599","0.335664335664336","0.787212787212787"
"Eyeline","Eyeline","OU","0.889110889110889","0","0.767232767232767","0.001998001998002","0.303696303696304","0.411588411588412"
"AuricularFeathers","AuricularFeathers","delta","0.871128871128871","0","0.215784215784216","0.779220779220779","0.273726273726274","0.04995004995005"
"MalarRegion","MalarRegion","delta","0.885114885114885","0.003996003996004","0.467532467532468","0.123876123876124","0.757242757242757","0.619380619380619"
"LateralNeck","LateralNeck","OU","0.867132867132867","0.301698301698302","0.295704295704296","0.785214785214785","0.44955044955045","0.25974025974026"
"LateralBreast","LateralBreast","delta","0.843156843156843","0.013986013986014","0.949050949050949","0.135864135864136","0.873126873126873","0.255744255744256"
"Wrist","Wrist","OU","0.937062937062937","0","0.671328671328671","0.033966033966034","0.937062937062937","0.227772227772228"
"Shoulder","Shoulder","OU","0.849150849150849","0.01998001998002","0.589410589410589","0.881118881118881","0.555444555444555","0.659340659340659"
"MarginalWingCoverts","MarginalWingCoverts","OU","0.899100899100899","0.00999000999000999","0.653346653346653","0.031968031968032","0.775224775224775","0.631368631368631"
"LesserCoverts","LesserCoverts","delta","0.875124875124875","0","0.825174825174825","0","0.44955044955045","0.613386613386613"
"MedianCoverts","MedianCoverts","OU","0.857142857142857","0","0.821178821178821","0.00799200799200799","0.679320679320679","0.333666333666334"
"GreaterSecondaryCoverts","GreaterSecondaryCoverts","delta","0.905094905094905","0","0.859140859140859","0.003996003996004","0.20979020979021","0.187812187812188"
"FoldedSecondaries","FoldedSecondaries","OU","0.885114885114885","0","0.503496503496504","0","0.577422577422577","0.105894105894106"
"FoldedPrimaries","FoldedPrimaries","OU","0.897102897102897","0","0.565434565434565","0","0.277722277722278","0.251748251748252"
"UpperFlank","UpperFlank","OU","0.889110889110889","0.943056943056943","0.829170829170829","0.0899100899100899","0.969030969030969","0.897102897102897"
"LowerFlank","LowerFlank","OU","0.911088911088911","0.051948051948052","0.773226773226773","0.0679320679320679","0.861138861138861","0.777222777222777"
"ThroatSides","ThroatSides","delta","0.911088911088911","0.003996003996004","0.041958041958042","0.689310689310689","0.323676323676324","0.821178821178821"
"UpperBreast","UpperBreast","delta","0.885114885114885","0.121878121878122","0.697302697302697","0.519480519480519","0.951048951048951","0.261738261738262"
"LowerBreast","LowerBreast","delta","0.911088911088911","0.569430569430569","0.103896103896104","0.659340659340659","0.631368631368631","0.53946053946054"
"SideBreast","SideBreast","OU","0.929070929070929","0.037962037962038","0.0739260739260739","0.213786213786214","0.637362637362637","0.353646353646354"
"UpperAbdomen","UpperAbdomen","OU","0.893106893106893","0","0.117882117882118","0.04995004995005","0.605394605394605","0.665334665334665"
"LowerAbdomen","LowerAbdomen","OU","0.947052947052947","0","0.541458541458541","0.547452547452547","0.773226773226773","0.051948051948052"
"CruralFeathers","CruralFeathers","OU","0.945054945054945","0","0.31968031968032","0.321678321678322","0.455544455544456","0.371628371628372"
"Crissum","Crissum","OU","0.845154845154845","0","0.885114885114885","0.02997002997003","0.161838161838162","0.24975024975025"
"Collar","Collar","delta","0.921078921078921","0.003996003996004","0.431568431568432","0.371628371628372","0.403596403596404","0.535464535464535"
"Forehead","Forehead","BM","0.881118881118881","0","0.505494505494505","0.255744255744256","0.641358641358641","0.001998001998002"
"Crown","Crown","BM","0.889110889110889","0.001998001998002","0.589410589410589","0.0699300699300699","0.867132867132867","0.187812187812188"
"Occiput","Occiput","BM","0.917082917082917","0","0.447552447552448","0.151848151848152","0.679320679320679","0.997002997002997"
"Nape","Nape","OU","0.931068931068931","0","0.041958041958042","0.0579420579420579","0.143856143856144","0.0719280719280719"
"NucalCollar","NucalCollar","delta","0.957042957042957","0","0.521478521478521","0.713286713286713","0.811188811188811","0.157842157842158"
"Scapulars","Scapulars","OU","0.883116883116883","0","0.729270729270729","0.871128871128871","0.333666333666334","0.033966033966034"
"Back","Back","OU","0.861138861138861","0","0.423576423576424","0.441558441558442","0.161838161838162","0.003996003996004"
"Rump","Rump","OU","0.887112887112887","0","0.343656343656344","0.051948051948052","0.987012987012987","0.331668331668332"
"UpperTailCoverts","UpperTailCoverts","delta","0.929070929070929","0.033966033966034","0.041958041958042","0.255744255744256","0.483516483516484","0.781218781218781"
